Resuming with 0 existing reports
2017: 1,000/15,333; saved total=1,000
2017: 2,000/15,333; saved total=2,000
2017: 3,000/15,333; saved total=3,000
2017: 4,000/15,333; saved total=4,000
2017: 5,000/15,333; saved total=5,000
2017: 6,000/15,333; saved total=6,000
2017: 7,000/15,333; saved total=7,000
2017: 8,000/15,333; saved total=8,000
2017: 9,000/15,333; saved total=9,000
2017: 10,000/15,333; saved total=10,000
2017: 11,000/15,333; saved total=11,000
2017: 12,000/15,333; saved total=12,000
2017: 13,000/15,333; saved total=13,000
2017: 14,000/15,333; saved total=14,000
2017: 15,000/15,333; saved total=15,000
2017: 15,333/15,333; saved total=15,333
