Resuming with 0 existing reports
2010: 1,000/10,236; saved total=1,000
2010: 2,000/10,236; saved total=2,000
2010: 3,000/10,236; saved total=3,000
2010: 4,000/10,236; saved total=4,000
2010: 5,000/10,236; saved total=5,000
2010: 6,000/10,236; saved total=6,000
2010: 7,000/10,236; saved total=7,000
2010: 8,000/10,236; saved total=8,000
2010: 9,000/10,236; saved total=9,000
2010: 10,000/10,236; saved total=10,000
2010: 10,236/10,236; saved total=10,236
