Resuming with 0 existing reports
2012: 1,000/11,357; saved total=1,000
2012: 2,000/11,357; saved total=2,000
2012: 3,000/11,357; saved total=3,000
2012: 4,000/11,357; saved total=4,000
2012: 5,000/11,357; saved total=5,000
2012: 6,000/11,357; saved total=6,000
2012: 7,000/11,357; saved total=7,000
2012: 8,000/11,357; saved total=8,000
2012: 9,000/11,357; saved total=9,000
2012: 10,000/11,357; saved total=10,000
2012: 11,000/11,357; saved total=11,000
2012: 11,357/11,357; saved total=11,357
