Resuming with 0 existing reports
2011: 1,000/10,406; saved total=1,000
2011: 2,000/10,406; saved total=2,000
2011: 3,000/10,406; saved total=3,000
2011: 4,000/10,406; saved total=4,000
2011: 5,000/10,406; saved total=5,000
2011: 6,000/10,406; saved total=6,000
2011: 7,000/10,406; saved total=7,000
2011: 8,000/10,406; saved total=8,000
2011: 9,000/10,406; saved total=9,000
2011: 10,000/10,406; saved total=10,000
2011: 10,406/10,406; saved total=10,406
