Resuming with 0 existing reports
2009: 1,000/14,971; saved total=1,000
2009: 2,000/14,971; saved total=2,000
2009: 3,000/14,971; saved total=3,000
2009: 4,000/14,971; saved total=4,000
2009: 5,000/14,971; saved total=5,000
2009: 6,000/14,971; saved total=6,000
2009: 7,000/14,971; saved total=7,000
2009: 8,000/14,971; saved total=8,000
2009: 9,000/14,971; saved total=9,000
2009: 10,000/14,971; saved total=10,000
2009: 11,000/14,971; saved total=11,000
2009: 12,000/14,971; saved total=12,000
2009: 13,000/14,971; saved total=13,000
2009: 14,000/14,971; saved total=14,000
2009: 14,971/14,971; saved total=14,971
