Resuming with 0 existing reports
2013: 1,000/9,980; saved total=1,000
2013: 2,000/9,980; saved total=2,000
2013: 3,000/9,980; saved total=3,000
2013: 4,000/9,980; saved total=4,000
2013: 5,000/9,980; saved total=5,000
2013: 6,000/9,980; saved total=6,000
2013: 7,000/9,980; saved total=7,000
2013: 8,000/9,980; saved total=8,000
2013: 9,000/9,980; saved total=9,000
2013: 9,980/9,980; saved total=9,980
